model,n_points,mean_src_to_ref_mm,mean_ref_to_src_mm,chamfer_mm,hausdorff_mm,max_src_to_ref_mm,max_ref_to_src_mm,rms_src_to_ref_mm,p95_src_to_ref_mm,std_src_to_ref_mm,fscore_0.01,fscore_0.02,fscore_0.05,fscore_0.1
distorted_1,8,2.259543,385.351230,193.805386,929.722593,2.717487,929.722593,2.322778,2.717487,0.538298,0.008025,0.024062,0.063649,0.137253
distorted_10,16258,0.002897,9.943473,4.973185,23.972091,0.010591,23.972091,0.003446,0.006402,0.001866,0.587915,0.940109,1.000000,1.000000
distorted_11,32514,0.002747,7.424467,3.713607,15.162184,0.009812,15.162184,0.003262,0.006237,0.001760,0.718498,1.000000,1.000000,1.000000
distorted_12,65282,0.002747,5.302681,2.652714,11.987949,0.009802,11.987949,0.003271,0.006242,0.001775,0.865076,1.000000,1.000000,1.000000
distorted_13,130562,0.000001,2.685683,1.342842,5.362619,0.008738,5.362619,0.000077,0.000000,0.000077,1.000000,1.000000,1.000000,1.000000
distorted_2,26,0.003321,220.289019,110.146170,455.706978,0.007559,455.706978,0.003667,0.005751,0.001556,0.008601,0.026982,0.083408,0.201457
distorted_3,114,0.002922,111.065472,55.534197,237.376824,0.007939,237.376824,0.003258,0.005404,0.001442,0.012776,0.045787,0.187452,0.497410
distorted_4,242,0.002815,76.754620,38.378718,189.705894,0.007945,189.705894,0.003257,0.006234,0.001638,0.021910,0.081102,0.349541,0.792187
distorted_5,482,0.002971,55.684378,27.843674,120.535140,0.008808,120.535140,0.003447,0.006301,0.001747,0.035810,0.134836,0.496926,0.955945
distorted_6,994,0.002885,38.493263,19.248074,95.641114,0.008801,95.641114,0.003385,0.006240,0.001770,0.076928,0.256912,0.789370,0.996564
distorted_7,1986,0.002719,27.966623,13.984671,60.558079,0.008780,60.558079,0.003195,0.006160,0.001676,0.125213,0.381318,0.949371,1.000000
distorted_8,4034,0.002802,19.395671,9.699236,47.919827,0.008937,47.919827,0.003327,0.006330,0.001795,0.235279,0.639831,0.992607,1.000000
distorted_9,8066,0.002965,14.190769,7.096867,30.316153,0.010565,30.316153,0.003523,0.006666,0.001903,0.344277,0.810592,1.000000,1.000000
